slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
la-reina-de-las-frutas-secas,La Reina de Las Frutas Secas,San José,Otros,,,,,,,,,,,,,,pendiente,no comprobado,,,715,,,,,,,ar,pampeana,entre-rios
miel-nativa,Miel Nativa,Paraná,Miel,"Miel, Panales, Polen","Gobernador Quiroz 1895, Paraná, Entre Ríos",,,+5493434543423,mielesnativa@gmail.com,,,https://www.instagram.com/mielesnativa/,,-31.74016,-60.52743,,pendiente,no comprobado,,,791,,,,,,,ar,pampeana,entre-rios
cantinero-entrerriano-kumquat-aperitivo,Cantinero Entrerriano Kumquat Aperitivo,Paraná,Destilados y licores,Aperitivo Kumquat,"Laprida 541, Paraná, Entre Ríos",,,+5493455463164,kumquat.aperitivo@gmail.com,,https://www.facebook.com/Kumquat.aperitivo,https://www.instagram.com/kumquat.aperitivo/,,-31.72648,-60.53633,,pendiente,no comprobado,,,328,,,,,,,ar,pampeana,entre-rios
beberry,Beberry,Ciudad Autónoma de Buenos Aires,Fruta y verdura,"Berries congelados (arandanos, Mix de frutos rojos, Frambuesas","Victor martinez 326 2 “b”, Ciudad Autónoma de Buenos Aires, Entre Ríos","Productor entrerriano de berries congelados, arándanos deshidratados y jugo de arándanos.",,+5491151235052,julieta@berriesmesop.com.ar,https://www.beberry.com.ar,,https://www.instagram.com/beberrysuperfoods/,,-34.60841,-58.37214,,pendiente,sí,ecommerce,,96,es,,,,,,ar,pampeana,entre-rios
ecopecan,Ecopecan,Cerrito,Frutos secos,"Nuez pecan con cáscara, Nuez pecan en mitades, Partes","Enrique Albornoz 185, Cerrito, Entre Ríos",,,+5493434666161,ecopecan@gmail.com,,,https://www.instagram.com/ecopecan_/,,-31.58239,-60.07369,,pendiente,no comprobado,,,469,,,,,,,ar,pampeana,entre-rios
entre-mieles,Entre Mieles,Victoria,Miel,,"Rondeau 575, Victoria, Entre Ríos","Productor apícola en Victoria, Entre Ríos.",,+5493436405918,,,,https://www.instagram.com/entremieles.ar/,,-32.62627,-60.14883,,pendiente,no comprobado,,,506,es,,,,,,ar,pampeana,entre-rios
aba-bebidas,Aba Bebidas,Concepción del Uruguay,Vermut,"Vermut, Gin, Fernet","Perú 347, Concepción del Uruguay, Entre Ríos",,,+5491121558484,ababebidas@gmail.com,,,,,-32.48466,-58.23212,,pendiente,no comprobado,,,4,,,,,,,ar,pampeana,entre-rios
pardalis-ferneteria,Pardalis Ferneteria,Colón,Dulces y repostería,Alfajores calidad premium,"Juan Jose Paso 186, Colón, Entre Ríos",,,+5493447454592,fededelaloye@gmail.com,https://www.tiendapardalis.com.ar,,https://www.instagram.com/pardalisferneteria/,,-32.22132,-58.13317,,pendiente,sí,ecommerce,,868,,,,,,,ar,pampeana,entre-rios
gran-jardin,Gran Jardín,Paraná,Té e infusiones,"Blends de té agroecológicos, Infusiones, Topping para mate","Feliciano 790, Paraná, Entre Ríos",,,+5493548591482,,https://www.granjardin.com.ar,,https://www.instagram.com/granjardin/,,-31.74481,-60.52425,,pendiente,no comprobado,,,582,,,,,,,ar,pampeana,entre-rios
el-japones,El Japones,San Salvador,Cerveza,"Arroz variedades especial, Gin de arroz, Whisky","Av. Entre Ríos 1554, San Salvador, Entre Ríos",,,+5493454146169,,https://www.arrozeljapones.com,,https://www.instagram.com/arrozeljapones/,,-31.62496,-58.50503,,pendiente,no comprobado,,,490,,,,,,,ar,pampeana,entre-rios
secretos-de-mi-pais,Secretos de Mi Pais,Gualeguaychú,Dulces y repostería,"Bizcochitos, Tortillas, Arroz orgánico","Rivadavia 1065, Gualeguaychú, Entre Ríos",,,+5491155126568,,https://www.secretosdemipais.com,,https://www.instagram.com/secretosdemipais/,,-33.00738,-58.52002,,pendiente,no comprobado,,,956,,,,,,,ar,pampeana,entre-rios
cosechas-del-tala,Cosechas del Tala,Rosario del Tala,Miel,Miel natural,"Avda. San Martin 353, Rosario del Tala, Entre Ríos",,,+5493445538318,coopapicoladeltala@hotmail.com,https://cosechasdeltala.com,,https://www.instagram.com/cooperativaapicoladeltala/,,-32.30068,-59.13907,,pendiente,sí,ecommerce,,418,,,,,,,ar,pampeana,entre-rios
establecimiento-los-pecanes-nuez-pecan-la-reina-de-las-fruta,Establecimiento Los Pecanes - Nuez Pecan La Reina de Las Frutas Secas,San José,Frutos secos,Nuez pecan,"Ruta 26 KM 7, San José, Entre Ríos",Establecimiento Los Pecanes produce nuez pecán en San José y la comercializa bajo la marca La Reina.,,+5493447433929,nuezpecanlareina@gmail.com,https://nuezpecanlareina.com.ar,,https://www.instagram.com/nuezpecanlareina/,,-32.20850,-58.21867,,pendiente,sí,ecommerce,,512,es,,,,,,ar,pampeana,entre-rios
