slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
gaec-lagriffoul,GAEC Lagriffoul,Bessines-sur-Gartempe,Carne,,"5 Chemin du Puy du Portail, 87250 Bessines-sur-Gartempe",,,,,https://www.le-sapin-de-noel.com,,,,46.101465999999995,1.3484079999999998,,pendiente,no comprobado,,,1113,,,,,,,fr,nouvelle-aquitaine,haute-vienne
de-la-terreau-miel,De la Terr'Eau Miel,Le Châtenet-en-Dognon,Miel,,"625 Route de Saint Léonard de Noblat, 87400 Le Châtenet-en-Dognon",,,,,https://www.delaterreaumiel.fr,,,https://www.google.com/maps/search/?api=1&query=45.899539%2C1.507746&query_place_id=ChIJvdYe_iZB-UcRSkjqw5xyhIA,45.899539,1.507746,,pendiente,no comprobado,,,460,,,,,,,fr,nouvelle-aquitaine,haute-vienne
fregeaigue,Fregeaigue,Nantiat,Carne,,"14 Fregeaigue, 87140 Nantiat",,,,,https://www.lapetitefermedegillesetjulie.fr,,,https://www.google.com/maps/search/?api=1&query=46.014029%2C1.195011&query_place_id=ChIJh-SrDDWy_kcRt5-oEFb9Q1g,46.014029,1.195011,,pendiente,no comprobado,,,976,,,,,,,fr,nouvelle-aquitaine,haute-vienne
lpci-cultures-et-intercultures,Lpci Cultures et Intercultures,Rancon,Miel,,"15 la Courcelle, 87290 Rancon",,,,,https://www.lpci.fr,,,,46.1353653,1.2132459,,pendiente,no comprobado,,,1545,,,,,,,fr,nouvelle-aquitaine,haute-vienne
ferme-de-beauregard,Ferme de Beauregard,Saint-Priest-sous-Aixe,Carne,,"Beauregard, 87700 Saint-Priest-sous-Aixe",,,,,https://www.foie-gras-fermedebeauregard.com,,,https://www.google.com/maps/search/?api=1&query=45.831264%2C1.063949&query_place_id=ChIJPQxUwXHG_kcRGR0qnGOn_VE,45.831264,1.063949,,pendiente,no comprobado,,,792,,,,,,,fr,nouvelle-aquitaine,haute-vienne
moulin-de-la-bouteille,Moulin de la Bouteille,Veyrac,Carne,,"Moulin de la Bouteille, 87520 Veyrac",,,,,https://www.moulin-de-la-bouteille.fr,,,https://www.google.com/maps/search/?api=1&query=45.8667764%2C1.1193319&query_place_id=ChIJz1G2OVrI_kcRj_6sJqx-dvs,45.8667764,1.1193319,,pendiente,no comprobado,,,1594,,,,,,,fr,nouvelle-aquitaine,haute-vienne
les-pensees-d-isis,Les Pensées d'Isis,Pierre-Buffière,Té e infusiones,"Infusions, épices et fruits transformés","LES PENSEES D'ISIS, 87260 Pierre-Buffière",,,+33679714416,lespenseesdisis@gmail.com,https://www.lespenseesdisis.com,https://www.facebook.com/lespenseesdisis,,https://www.google.com/maps/search/?api=1&query=45.699242%2C1.348472&query_place_id=ChIJP2ZPiTkv-UcRpebRFiPuAAI,45.699242,1.348472,,,no comprobado,,,1524,,,,,,,fr,nouvelle-aquitaine,haute-vienne
delifungi,Délifungi,Rancon,Setas,Champignons,"8 LA COURCELLE, 87290 Rancon",,,,delifungi87@gmail.com,,https://www.facebook.com/profile.php?id=100075947690561,https://www.instagram.com/delifungi/,,46.13551,1.213275,,,no comprobado,,,466,,,,,,,fr,nouvelle-aquitaine,haute-vienne
ferme-des-chantouroux,Ferme des Chantouroux,Nieul,Pan y cereal,"Pain, farines et œufs","MEYGEAS, 87510 Nieul",,,+33767400396,joyeux.caroline@gmail.com,http://www.chantouroux.com,,,https://www.google.com/maps/search/?api=1&query=45.902226%2C1.184758&query_place_id=ChIJw8ukdQC1_kcRaYUqaEoKt78,45.902226,1.184758,,,no comprobado,,,874,,,,,,,fr,nouvelle-aquitaine,haute-vienne
ferme-des-highlands,Ferme des Highlands,Saint-Léger-la-Montagne,Carne,"Viande bovine, pommes et sève de bouleau","20 la Serre, 87340 Saint-Léger-la-Montagne",,,,ferme-des-highlands@orange.fr,https://www.fermedeshighlands.fr,,,https://www.google.com/maps/search/?api=1&query=46.039457%2C1.433118&query_place_id=ChIJcajGaxZF-UcRNFW9ecLcM0Q,46.039457,1.433118,,,no comprobado,,,878,,,,,,,fr,nouvelle-aquitaine,haute-vienne
brasserie-michard,Brasserie Michard,Limoges,Cerveza,,"39 allée de Faugeras, 87100 Limoges",,,+33555040278,,https://www.maison-michard.fr/,,,,45.856700,1.226000,,pendiente,no comprobado,,,185,,,,,,,fr,nouvelle-aquitaine,haute-vienne
