slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2,country,region,area
daviere-carole,Daviere Carole,Juigné-sur-Sarthe,Carne,,"Les Roussets, 72300 Juigné-sur-Sarthe",,,,,http://elevagedesroussets.eklablog.com,,,https://www.google.com/maps/search/?api=1&query=Daviere%20Carole%2C%20Les%20Roussets%2C%2072300%20Juign%C3%A9-sur-Sarthe&query_place_id=ChIJa8AuJJk4CEgRN95wojZaqqI,47.864835899999996,-0.325115,,pendiente,no comprobado,,,459,,,,,,,fr,pays-de-la-loire,sarthe
gaec-bio-avenir,GAEC Bio Avenir,Spay,Lácteos y quesos,"Fromages, lait, œufs et viande","La Fontaine, 72700 Spay","Une ferme biologique située à Spay produit des fromages, du lait, des œufs et de la viande sous l’identité GAEC Bio Avenir.",,,,https://www.gaec-bio-avenir.fr/,,,https://www.google.com/maps/search/?api=1&query=47.9288492%2C0.1274553&query_place_id=ChIJ5TKsJk2F4kcR0QLwGvlWpOM,47.9288492,0.1274553,,,no comprobado,,,1077,fr,,,,,,fr,pays-de-la-loire,sarthe
ferme-de-la-barre,Ferme de la Barre,Saint-Marceau,Carne,Viande,"La Maugerie, 72170 SAINT MARCEAU",,,+33664259548,projet.labarre@gmail.com,,,https://www.instagram.com/fermedelabarre/,,48.18092,0.1385029,,,no comprobado,,,809,,,,,,,fr,pays-de-la-loire,sarthe
ferme-de-vaulumier,Ferme de Vaulumier,Thoiré-sur-Dinan,Carne,Viande,"PICHON LANOISELEE Emilie, 72500 Thoiré-sur-Dinan",,,+33617181184,lafermedevaulumier@gmail.com,,https://facebook.com/lafermedevaulumier,https://instagram.com/lafermedevaulumier,,47.748797,0.44398,,,no comprobado,,,863,,,,,,,fr,pays-de-la-loire,sarthe
jardin-du-bon-air,Jardin du Bon Air,Fercé-sur-Sarthe,Fruta y verdura,Légumes biologiques,"18 chemin des vénillières, 72430 Fercé-sur-Sarthe",,,+33610991426,jardindubonair@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=47.896152%2C-0.033234&query_place_id=ChIJwyaxteUnCEgRX-PE0BFRgnA,47.896152,-0.033234,,pendiente,no comprobado,,,1187,,,,,,,fr,pays-de-la-loire,sarthe
brasserie-mage-malte,Brasserie Mage Malte,Mamers,Cerveza,,,,,,mage.malte@gmail.com,https://mage-malte.com/,,https://www.instagram.com/brasserie_magemalte,,48.3554,0.3707,,pendiente,no comprobado,,,180,,,,,,,fr,pays-de-la-loire,sarthe
brasserie-septante-deux,Brasserie Septante Deux,Le Mans,Cerveza,,Rue Saint-Pavin des Champs 72000 Le Mans,,,,brasserie@septantedeux.com,https://www.brasserieseptantedeux.com,,https://www.instagram.com/brasserieseptantedeux/,,47.98190,0.19570,,pendiente,no comprobado,,,1817,,,,,,,fr,pays-de-la-loire,sarthe
distillerie-daniel-pelletier,Distillerie Daniel Pelletier,La Chapelle-Huon,Destilados y licores,,Le Petit Pont 72310 La Chapelle-Huon,,,,,https://www.cidreriedistilleriepelletiersarthe.com,,,,47.85660,0.72390,,pendiente,no comprobado,,,1818,,,,,,,fr,pays-de-la-loire,sarthe
maison-drans,Maison Drans,Sablé-sur-Sarthe,Dulces y repostería,,Rue Léon Legludic 72300 Sablé-sur-Sarthe,,,,,https://www.maisondrans.com,,https://www.instagram.com/maisondrans/,,47.83970,-0.35420,,pendiente,sí,ecommerce,,1819,,,,,,,fr,pays-de-la-loire,sarthe
huilerie-saint-julien,Huilerie Saint-Julien,Bernay-Neuvy-en-Champagne,Aceite,,Saint-Julien 72240 Bernay-Neuvy-en-Champagne,,,,,https://www.huileriesaintjulien.com,,,,48.07610,-0.03310,,pendiente,no comprobado,,,1820,,,,,,,fr,pays-de-la-loire,sarthe
chocolaterie-bellanger,Chocolaterie Bellanger,Le Mans,Chocolate,,"Route de Laval, Le Mans",,,,,https://www.chocolats-bellanger.com/faq/,,https://www.instagram.com/bellanger_chocolatier,,47.98190,0.19570,,pendiente,sí,ecommerce,,1834,,,,,,,fr,pays-de-la-loire,sarthe
ferme-de-la-fuie,FERME DE LA FUIE,Conlie,Pan y cereal,,"route du Calvaire, 72240 Conlie",,,,,https://lesmeulesfermieres.com/,https://www.facebook.com/lesmeulesfermieres,https://www.instagram.com/les.meules.fermieres/,,48.1206,-0.0015,,pendiente,sí,ecommerce,,1928,,,,,,,fr,pays-de-la-loire,sarthe
la-ferme-de-la-fontaine-du-feu,LA FERME DE LA FONTAINE DU FEU,Chaufour-Notre-Dame,Carne,,,,,,titouan@fermedelafontainedufeu.fr,https://fermedelafontainedufeu.fr/,https://www.facebook.com/lafontainedufeu/,https://www.instagram.com/charlie_lune_creations/,,,,,pendiente,sí,ecommerce,,1929,,,,,,,fr,pays-de-la-loire,sarthe
