slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale,visitas guiadas,mensaje a la comunidad,mensaje_comunidad_locale,enlace destacado 1,enlace destacado 2
caseificio-peru,Caseificio Peru,Badesi,Lácteos y quesos,"pecorino sardo, ricotta, creme spalmabili","Via Nazionale, 56, 07030 Badesi SS",Caseificio Peru is a family dairy in Badesi producing Sardinian pecorino ricotta and cheese spreads with traditional methods.,Lun-sáb 08:00-13:00 y 17:00-20:00; dom 08:00-13:00,+39079684043,posta@caseificioperu.it,http://www.caseificioperu.it/,,,https://www.google.com/maps/search/?api=1&query=Caseificio%20Peru%2C%20Via%20Nazionale%2C%2056%2C%2007030%20Badesi%20SS&query_place_id=ChIJUT6-jKb12xIRSXWUjqkDRWw,40.965056815634,8.885586405585,,verificado,no comprobado,,,1297,en,,,,,
sardaformaggi-budduso,Sardaformaggi — stabilimento di Buddusò,Buddusò,Lácteos y quesos,"Pecorino Romano DOP, pecorini sardi, ricotta","Via Damiano Chiesa, 20, 07020 Buddusò SS",The historic Sardaformaggi mountain plant in Buddusò produces and matures pecorino cheeses from Sardinian sheep's milk.,,+390558330046,commerciale@sardaformaggi.it,https://www.sardaformaggi.it/,,,https://www.google.com/maps/search/?api=1&query=Sardaformaggi%20%E2%80%94%20stabilimento%20di%20Buddus%C3%B2%2C%20Via%20Damiano%20Chiesa%2C%2020%2C%2007020%20Buddus%C3%B2%20SS&query_place_id=ChIJ4xD011qf3hIRg1M9EL7W8xs,40.577426483192,9.263133811421,,verificado,no comprobado,,,3096,en,,,,,
columbu-formaggi,Columbu Formaggi,Olbia,Lácteos y quesos,"Taulara, San Basilio, pecorini, caprini, latticini freschi","Via Astro Mari, 22, 07026 Olbia SS",Columbu Formaggi is a family dairy in Olbia producing fresh and matured Sardinian cheeses including its Taulara and San Basilio pecorinos.,Nov-abr 08:00-13:00 y 16:30-19:30; may-oct 08:00-13:00 y 17:00-20:00,+393495676666,info@columbuformaggi.com,https://columbuformaggi.com/,,,https://www.google.com/maps/search/?api=1&query=Columbu%20Formaggi%2C%20Via%20Astro%20Mari%2C%2022%2C%2007026%20Olbia%20SS&query_place_id=ChIJNwIHbuJK2RIRGGksePF5IXk,40.915284781212,9.501414722531,,verificado,no comprobado,,,1556,en,,,,,
tia-juanna,Tia Juanna,Olbia,Lácteos y quesos,"pecorino, ricotta di pecora, yogurt miciuratu, crema di pecorino","Via Salvatore Petta, 51, 07026 Olbia SS",Tia Juanna transforms fresh sheep's milk in Olbia into artisan pecorino ricotta traditional yogurt and cheese spread.,08:30-13:00 y 16:30-20:00,+393384111322,info@tiajuanna.com,https://www.tiajuanna.com/,,,https://www.google.com/maps/search/?api=1&query=Tia%20Juanna%2C%20Via%20Salvatore%20Petta%2C%2051%2C%2007026%20Olbia%20SS&query_place_id=ChIJGephopRL2RIRylmm1isrvjs,40.933119082327,9.483293131685,,verificado,sí,ecommerce,,3282,en,,,,,
pastori-oschiresi,Cooperativa Pastori Oschiresi,Oschiri,Lácteos y quesos,"Pecorino Romano DOP, formaggi ovini, ricotta","Regione S'Utturu, 48, 07027 Oschiri SS",Cooperativa Pastori Oschiresi transforms sheep's milk supplied by its local members into Sardinian cheeses and ricotta.,Lun-vie 07:00-14:00; sáb 07:00-12:30,+39079733094,cooperativapastorioschiresi@gmail.com,https://www.societacooperativapastorioschiresi.it/,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Pastori%20Oschiresi%2C%20Regione%20S%27Utturu%2C%2048%2C%2007027%20Oschiri%20SS&query_place_id=ChIJzUQxMXgb3BIRdob1oYTE4g0,40.72280403691,9.094525661034,,verificado,no comprobado,,,1598,en,,,,,
caseificio-verde-oro-sena-de-sa-pira,Caseificio Verde Oro — S'ena de Sa Pira,Olbia,Lácteos y quesos,"Pecorino Romano, formaggi spalmabili caprini ovini e misti","Località S'ena de Sa Pira, 07026 Olbia SS",Contini Costantina's authorised farm dairy is part of the Verde Oro group and makes traditional Sardinian cheeses from cow goat and sheep milk.,,+390789604507,,,,,,40.91667,9.5,,parcial,no comprobado,,,1486,en,,,,,
careddu-liliana,Careddu Liliana,Padru,Lácteos y quesos,formaggi ovini e vaccini,"Via Nazioni Unite, 9, 07020 Padru SS",Long-running authorised Padru dairy producing sheep and cow milk cheeses under the proprietor's name.,,+39078945743,,,,,,40.76667,9.51667,,parcial,no comprobado,,,830,en,,,,,
cantina-siddura,Cantina Siddùra,Luogosanto,Vino,,,Cantina Siddùra produces its own wine in Luogosanto.,,,,https://siddura.com/,,https://www.instagram.com/cantinasiddura/,,41.05026,9.20599,,parcial,sí,ecommerce,,3389,en,,,,,
oleificio-gallura,Oleificio Gallura,Berchidda,Aceite,,,Oleificio Gallura produces its own olive oil in Berchidda.,,,,https://www.oleificiogallura.it/,,https://www.instagram.com/oleificiogallura/,,40.78581,9.16577,,parcial,no comprobado,,,3390,en,,,,,
cantina-tani,Cantina Tani,Monti,Vino,,,Cantina Tani produces its own wine in Monti.,,,,https://www.cantinatani.com/,,https://www.instagram.com/cantinatani/,,40.80692,9.32663,,parcial,sí,ecommerce,,3391,en,,,,,
tenute-gregu,Tenute Gregu,Calangianus,Vino,,,Tenute Gregu produces its own wine in Calangianus.,,,,https://www.tenutegreguexperience.com/,,https://www.instagram.com/tenutegregu/,,40.92222,9.19472,,parcial,no comprobado,,,3392,en,,,,,
tenute-olbios,Tenute Olbios,Olbia,Vino,,,Tenute Olbios produces its own wine in Olbia.,,,info@tenuteolbios.com,https://www.tenuteolbios.com/,,https://www.instagram.com/tenuteolbios/,,40.91667,9.50000,,parcial,no comprobado,,,3393,en,,,,,
asdomar-olbia,ASDOMAR — stabilimento di Olbia,Olbia,Pescado,"tuna, mackerel and fish preserves",,,,,,https://www.asdomar.it/azienda/,,,,,,,parcial,no comprobado,,,3877,,,,,,
